All Programs,All Programs
April,April
August,August
BadUserNameOrPasswordLoginErrorMessage,wrong username or password
"Before you can play this video, you need to have the '{product_name}'","Before you can play this video, you need to have the '{product_name}'"
Before you can playback recordings on this device you need to upgrade to the {offer} offer.,Before you can playback recordings on this device you need to upgrade to the {offer} offer.
Before you can record this channel you need to have the {offer} offer,Before you can record this channel you need to have the {offer} offer
COOKIE_INFO,Door gebruik te maken van deze website gaat u akkoord met het gebruik van cookies op deze website van
Cannot record this channel,Cannot record this channel
Cast,Cast
Channels,Channels
Code incorrect,Code incorrect
Connect,Verbinden
Continue,Verder gaan
Continue watching,Continue watching
Date,Date
Days,Days
December,December
Director,Director
Duration,Duration
EOD,Erotic
Erotic,Erotic
Error occured,Error occured
Favorite,Favorite
Favorite Movies,Favorites
Favorite catchups,Favorite catchups
Favorite channels,Favorite channels
Favorites,Favorites
Feature not available description,The Feature is not available yet. We hope to bring it live to you within the next couple of weeks.
February,February
Films,Films
Films & Series,Films & Series
Friday,Friday
Genre:,Genre:
Genres,Genres
I have read the general terms and fully agree.,I have read the general terms and fully agree.
IFRAME_PROGRAM_INHOME_MASSAGE,Try to watch this program on box
"It's not possible to rent this movie, your online wallet doesn't have enough money. Please contact the service desk.","It's not possible to rent this movie, your online wallet doesn't have enough money. Please contact the service desk."
January,January
July,July
June,June
LOGIN_BUTTON_TEXT,login
Live Programs,Live Programs
March,March
May,May
Menu Settings Mobile services Generate a code,Menu > Settings > Mobile services > Generate a code
Monday,Monday
More information,More information
NO_PROGRAM_INFORMATION,No program information
New,New
New recordings,New recordings
Newest,Newest
Newest movies,Newest rental movies
No,No
No playback on this device.,No playback on this device.
NoMoreRoom,no more room available
November,November
OK,Ok
October,October
Offers,Movie package
On Demand,On Demand
POPUP_LOGIN_DESC,You have to be logged in to see that content.
POPUP_LOGIN_TITLE,Log in
POPUP_PARENTAL_CONFIRM,Continue
POPUP_PARENTAL_ENTER_PIN,Before you can watch this content you need to enter your parental pincode.
POPUP_PARENTAL_MESSAGE,You are trying to access content which is apparently not suited for your age.
POPUP_PARENTAL_TITLE,Parental Guidance
POPUP_PROGRAM_DEVICE_NOT_AVAILABLE,This channel is not available on the current device
POPUP_PROGRAM_INFO_MESSAGE,This channel has no EPG
POPUP_PROGRAM_INFO_TITLE,Cannot open this channel
POPUP_PROGRAM_TOGGLE_RECORDING,recording
POPUP_PROGRAM_TOGGLE_REMINDER,reminder
POPUP_PROGRAM_WATCH,watch live
Pair to your Online TV decoder,Pair to your Online TV decoder
Planned,Planned
Please enter pin code to rent {quality} quality for {price},Please enter pin code to rent {quality} quality for {price}
Please enter rental PIN,Please enter rental PIN
Please enter your,Please enter your
Please enter your four digit,Please enter your four digit
Popular movies,Popular moves
Quality,Quality
Recommendations,Aanbevelingen
Record,Record
Recording Removal Popup Question,Are you sure you want to remove this recording?
Recording Removal Popup Title,Remove recording
Recordings,Recordings
Register,User account
Reminders,Reminders
Remove recording,Remove recording
Rent movie,Rent movie
Rent {type} for {price},Rent {type} for {price}
Rental history,Rental history
Rental period,Rental period
Replay,Replay
Saturday,Saturday
Search,Search
Season,Season
Select the quality you want to look at,Select the quality you want to look at
Select the quality you want to rent,Select the quality you want to rent
September,September
Serie,Serie
Series,Series
Silverlight is not supported,Silverlight is not supported
Sorry,Sorry
Sorry the feature is not available,Sorry the feature is not available
Sport,Sport
Sunday,Sunday
TOD,TV On Demand
TV,TV
TV Gemist,TV Gemist
TV Gids,TV Guide
TV Guide,TV Guide
TV on demand,TV Gemist
TV recommendations,TV recommendations
The following costs will be charged:,The following costs will be charged:
This channel is not available on the current device,This channel is not available on the current device
This content contains erotic material which is not suited for visitors younger then 18 years!,This content contains erotic material which is not suited for visitors younger then 18 years!
This episode is part of your {offer} offer. You can watch this episode unlimited times.,This episode is part of your {offer} offer. You can watch this episode unlimited times.
This episode is still available for you and can still be watched for {timeLeft}.,This episode is still available for you and can still be watched for {timeLeft}.
This movie is part of your {offer} offer. You can watch this movie unlimited times.,This movie is part of your {offer} offer. You can watch this movie unlimited times.
This movie is still available for you and can still be watched for {timeLeft}.,This movie is still available for you and can still be watched for {timeLeft}.
This program is not recorded yet,this program is not recorded yet
This program is part of your {offer} offer. You can watch this program unlimited times.,This program is part of your {offer} offer. You can watch this program unlimited times.
This program is still available for you and can still be watched for {timeLeft}.,This program is still available for you and can still be watched for {timeLeft}.
Thursday,Thursday
Title,Title
"To fully enjoy the interactive features, please login.","To fully enjoy the interactive features, please login."
"To fully enjoy the interactive features, you can connect this PC portal you your account. Go on your TV decoder to:","To fully enjoy the interactive features, you can connect this PC portal you your account. Go on your TV decoder to:"
Today,Today
Tomorrow,Tomorrow
Tonight on TV,Tonight on TV
Total price for 48h rental period,Total price for 48h rental period
Trailer,Trailer
Tuesday,Tuesday
Unable to playback Replay,Unable to playback Replay
VOD,VOD
VOD Erotic,VOD Erotic
Video On Demand,VOD
Watch {type},Watch {type}
Wednesday,Wednesday
Year,Year
Yes,Yes
Yestarday,Yestarday
"Your browser does not support Silverlight player, please user another browser to watch this content.","Your browser does not support Silverlight player, please user another browser to watch this content."
Your reminders,Your reminders
add channel to TV favorites,add channel to TV favorites
add to bookmarks,add to bookmarks
alphabeticaly,alphabeticaly
and,and
april,Apr
august,Aug
available,available
available for {timeLeft} hours,available for {timeLeft} hours
back,back
bookmark,bookmark
cancel,Annuleren
cast,cast
channel,channel
choices,choices
confirm,confirm
confirmation,confirmation
continue,continue
date,date
december,Dec
enable 18+,enable 18+
episode,episode
episodeCapital,Episode
featured TV channel,Aangeraden TV zender
february,Feb
friday,friday
from,from
generated mobile services code,generated mobile services code
gratis,gratis
hd,High definition (HD)
hours,hours
hours available,hours available
info,info
informations,legales
january,Jan
july,Jul
june,Jun
live TV,Live TV
logout,logout
march,Mar
may,May
message,message
minute,minute
minutes,minutes
monday,monday
month,month
months,months
movie,movie
movie rental overview text,"This movie would be available for 30 days after renting. When you start watching this movie, it is possible to watch or restart the movie for 48 hours before ending the rental period."
movieCapital,Movie
my account,Mijn Account
new VOD releases,Nieuwe Films
new and channel,Nieuw en zender
newest,newest
next on,next on
november,Nov
now,Now
october,Oct
or,or
other episodes,other episodes
parental pin code to continue,parental pin code to continue
password,Wachtwoord
payment PIN,payment PIN
please choose device to unpair before you pair this device,please choose device to unpair before you pair this device
price,price
program,program
programCapital,Program
quality selection,quality selection
recording,recording
reminder,reminder
reminders,reminders
remove,remove
remove channel from TV favorites,remove channel from TV favorites
remove from bookmarks,remove from bookmarks
remove recording,remove recording
results,Results
results for,search results for
saturday,saturday
sd,Standard definition (SD)
see all,see all
september,Sep
suggestions,suggestions
sunday,sunday
thursday,thursday
today,today
tomorrow,tomorrow
tonight,Tonight on TV!
tonight on TV,Vanavond op TV
tuesday,tuesday
userexpired,userexpired
username,Gebruikersnaam
watch live,watch live
watch trailer,watch trailer
wednesday,wednesday
welcome,Welcome
yesterday,yesterday
you have,You have
{offer} offer,{offer} offer
