ACCOUNT,Mijn account
ADULTVOD,Erotheek
All broadcasters,Alle aanbieders
CATALOG,Nieuw
DAYS,Dagen
Films,Films
GENRES,Genres
Highlighted,Uitgelicht
History,Reeds bekeken
Most Rented,Meest populair
No content available,Binnenkort beschikbaar.
Rented,Nog te bekijken
SERIES,Series
Select broadcaster,Selecteer aanbieder
Sports,Sport
TV ON DEMAND,TV Gemist
The newest,De nieuwste
VIDEO ON DEMAND,Videotheek
episodes,episodes
