Clear input,Wis invoerveld
Clear_keyboard,WISSEN
Enter PIN,Vul pincode in
Manual search,Handmatig zoeken
No search results found,Geen zoekresultaten gevonden
On Demand,Videotheek
SEARCH,Zoeken
Search_keyboard,ZOEKEN
Toggle keyboard,Toetsenbord weergeven
apps,Apps
ctv,TV Gemist
epg,TV Gids
pvr,Mijn opnames
rad,Radio
spr,Sport
vod,Films & Series
xvod,18+ films
