Actions,Akcie
BACK,Späť
Bookmark,záložka
CAST,Obsadenie
Enter your 4 digit purchase code here,Tu zadajte Váš 4-miestny kód pre nákup
FAVORITE,obľúbený
GENRE,Žáner
More,Viac
PROMO,promo
Prime,Hlavné
RATE THIS MOVIE,Ohodnotiť tento film
RENT,predplatiť
RENT MOVIE,Predplatiť film
Recommendations,Odporúčania
Renting failed,Predplatenie sa nepodarilo
Social,Sociálne
WATCH MOVIE,Sledovať film
