Actions,﻿Műveletek
BACK,Vissza
Bookmark,Könyvjelző
CAST,Szereposztás
Enter your 4 digit purchase code here,Adja meg 4 számjegyű kódot vásárlást
FAVORITE,Kedvenc
GENRE,Műfaj
More,Több
PROMO,Előzetes
Prime,Legjobb
RATE THIS MOVIE,Értékelje a filmet
RENT,Kölcsönzés
RENT MOVIE,Film kölcsönzése
Recommendations,Ajánlások
Renting failed,Sikertelen kölcsönzés
Social,Közösségi
WATCH MOVIE,Film megtekintése
