ACCOUNT,Account
ADULTVOD,Erwachsenen VoD
All broadcasters,Alle Sender
CATALOG,Neu
DAYS,Tage
Films,Filme
GENRES,Genres
Highlighted,Highlighted
History,Erworbene Videos
Most Rented,Am meisten ausgeliehen
No content available,Inhalt bald verfügbar
Rented,ausgeliehen
SERIES,Serien
Select broadcaster,Sender auswählen
Sports,Sport
TV ON DEMAND,TV on Demand
The newest,Neuheiten
VIDEO ON DEMAND,Video on Demand
episodes,Episoden
