LIST,List
No recommendations found.,﻿Aucune recommandation trouvée.
No recordings found.,Aucun enregistrement trouvé.
Tomorrow,Demain
episode info,infos épisode
more info,Suggestions
movie info,infos film
program info,infos programme
{dd} days remaining,{dd} jours restants
{hours} hours remaining,{hours} heures restantes
{mins} minutes remaining,{mins} minutes restantes
