LIST,List
No recommendations found.,Neboli nájdené žiadne odporúčania.
No recordings found.,Neboli nájdené žiadne nahrávania.
Tomorrow,Zajtra
episode info,info o epizóde
more info,Odporúčania
movie info,info o filme
program info,info o programe
{dd} days remaining,{dd} zostávajúcich dní
{hours} hours remaining,{hodiny} zostávajúcich hodín
{mins} minutes remaining,{minúty} zostávajúcich minút
