ACCOUNT,Účet
ADULTVOD,ADULTVOD
All broadcasters,Všetci vysielatelia
CATALOG,Nový
DAYS,dni
Films,Filmy
GENRES,žánre
Highlighted,Zvýraznené
History,História
Most Rented,Najčastejšie predplatené
No content available,už Čoskoro
Rented,Predplatené
SERIES,Seriály
Select broadcaster,Vybrať vysielateľa
Sports,Športy
TV ON DEMAND,TV na požiadanie
The newest,Najnovšie
VIDEO ON DEMAND,Video na požiadanie
episodes,Epizódy
