Actions,Akce
BACK,Zpět
Bookmark,Záložka
CAST,Cast
Enter your 4 digit purchase code here,Zde zadejte svůj 4místný nákupní kód
FAVORITE,Oblíbené
GENRE,Žánr
More,Více
PROMO,promo
Prime,Hlavní
RATE THIS MOVIE,Ohodnoťte tento film
RENT,Vypůjčit
RENT MOVIE,Vypůjčit film
Recommendations,Doporučení
Renting failed,Vypůjčení selhalo
Social,Sociální
WATCH MOVIE,Sledovat film
