LIST,List
No recommendations found.,Keine Empfehlungen gefunden
No recordings found.,Keine Aufnahmen gefunden
Tomorrow,Morgen
episode info,Episode Info
more info,Empfehlungen
movie info,Film info
program info,Programminfo
{dd} days remaining,{dd} Tage verbleibend
{hours} hours remaining,{hours} Stunden verbleibend
{mins} minutes remaining,{mins} Minuten verbleibend
