LIST,List
No recommendations found.,No recommendations found.
No recordings found.,No recordings found.
Tomorrow,Tomorrow
episode info,episode info
more info,Recommendations
movie info,movie info
program info,program info
{dd} days remaining,{dd} days remaining
{hours} hours remaining,{hours} hours remaining
{mins} minutes remaining,{mins} minutes remaining
