LIST,List
No recommendations found.,Doporučení nenalezena.
No recordings found.,Nahrávky nenalezeny.
Tomorrow,Zítra
episode info,informace o dílu
more info,Doporučení
movie info,informace o filmu
program info,informace o pořadu
{dd} days remaining,zbývá {dd} dnů
{hours} hours remaining,zbývá {hours} hodin
{mins} minutes remaining,zbývá {mins} minut
