LIST,List
No recommendations found.,﻿Nem található ajánlás.
No recordings found.,Nem található felvétel.
Tomorrow,Holnap
episode info,epizódinformáció
more info,Ajánlások
movie info,filminformáció
program info,műsorinformáció
{dd} days remaining,{dd} nap maradt
{hours} hours remaining,{hours} óra maradt
{mins} minutes remaining,{mins} perc maradt
